Staff ID,Locality,Work Room,Schedule,Home Latitude,Home Longitude
STAFF-001,STAFF-001,Dogra Hall,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5400749,77.1980027
STAFF-002,STAFF-002,LHC,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5397984,77.1987447
STAFF-003,STAFF-003,Department of Material Science,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5405748,77.1971985
STAFF-004,STAFF-004,Block 5,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5405971,77.1965034
STAFF-005,STAFF-005,Academic Complex East,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5404166,77.1976374
STAFF-006,STAFF-006,Bharti School of Telecom Technology and Management,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5404595,77.1968988
STAFF-007,STAFF-007,Block 4,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5403154,77.1972854
STAFF-008,STAFF-008,Block 6,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5402583,77.1985064
STAFF-009,STAFF-009,Block 4,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.541012,77.1990517
STAFF-010,STAFF-010,"SIT, IIT Delhi",Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5419195,77.194272
STAFF-011,STAFF-011,Department of Textile Technology,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5413073,77.1945159
STAFF-012,STAFF-012,Central Library,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5406689,77.1988643
STAFF-013,STAFF-013,Mathematics Department,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5424448,77.1997137
STAFF-014,STAFF-014,Synergy Building,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5419326,77.1994723
STAFF-015,STAFF-015,"SIT, IIT Delhi",Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5412736,77.1963086
STAFF-016,STAFF-016,DMS,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5413576,77.1960593
STAFF-017,STAFF-017,Department of Textile Technology,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5427064,77.1998208
STAFF-018,STAFF-018,Synergy Building,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5411551,77.1992087
STAFF-019,STAFF-019,"SIT, IIT Delhi",Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5413063,77.1974971
STAFF-020,STAFF-020,Block 5,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5417395,77.1947532
STAFF-021,STAFF-021,DMS,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5411579,77.1956265
STAFF-022,STAFF-022,Academic Complex East,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.540861,77.1963973
STAFF-023,STAFF-023,block 2,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5407532,77.1961026
STAFF-024,STAFF-024,Block 3,Work Hours: 08:00-18:00 (Mon-Fri) | Lunch Break: 12:00-14:00,28.5410115,77.1960104
